Region and country of last residence,2015 [YR2015],2016 [YR2016],2017 [YR2017]
Austria-Hungary,2965,2620,2886
Austria,1928,1621,1962
Hungary ,1037,999,924
Belgium,809,821,742
Bulgaria ,2585,2560,2070
Czechoslovakia ,1236,1299,1142
Denmark,634,562,536
Finland ,397,512,478
France,5034,5473,4973
Germany ,5965,5895,5369
Greece,1330,1664,1495
Ireland ,1798,1895,1685
Italy,3829,4385,4055
Netherlands,1505,1550,1285
Norway-Sweden ,1551,1729,1523
Norway ,357,404,377
Sweden ,1194,1325,1146
Poland ,4921,5287,4592
Portugal ,869,1017,910
Romania,3160,3322,2722
Russia ,9030,9280,8841
Spain,3707,4018,3555
Switzerland,1007,1090,837
United Kingdom ,14653,14887,13318
Yugoslavia ,4721,5392,4966
   Other Europe,19083,22785,21726
China,70977,77658,66479
Hong Kong,2426,2982,2893
India,61380,61691,57155
Iran,9074,9596,9311
Israel,4324,4652,4227
Japan,5808,5709,5176
Jordan,7835,7345,8219
Korea ,16976,21329,18559
Philippines,54307,50609,46542
Syria ,5459,3800,3010
Taiwan,4814,5062,4787
Turkey ,8762,8635,9144
Vietnam,30332,40412,37541
   Other Asia,123380,143374,131328
Canada and Newfoundland ,19309,19349,18469
Mexico ,157227,172726,168980
Caribbean,146086,180479,173724
Cuba,54178,66120,64749
Dominican Republic,50382,60613,58384
Haiti,16787,23185,21501
Jamaica,17362,22833,21517
Other Caribbean ,7377,7728,7573
Belize,804,878,754
Costa Rica,2121,2295,2259
El Salvador,18699,21268,21920
Guatemala,11466,12548,12792
Honduras,9071,12996,11147
Nicaragua,3262,3397,3014
Panama ,1133,1130,1021
   Other Central America,0,0,0
Argentina,3542,3783,3191
Bolivia,1549,1481,1399
Brazil,11247,13528,14832
Chile,1620,1711,1664
Colombia,16509,16830,16341
Ecuador,9816,10779,10826
Guyana,5313,4909,4683
Paraguay,353,400,364
Peru,9973,10519,9767
Suriname,116,130,111
Uruguay,1023,911,952
Venezuela,8985,10590,11465
   Other South America,3,0,0
   Other America,1,2,1
Egypt,13907,13367,11166
Ethiopia,12566,13699,15678
Liberia,3580,3545,4085
Morocco,3569,4447,4066
South Africa,3298,3441,3438
   Other Africa,61757,72255,78234
Australia ,3795,4173,3818
New Zealand ,978,939,900
Other Oceania,1454,1377,1268
Not Specified ,10256,22726,20761